#{"t_start": 1681633120.6360166, "env_id": null}
r,l,t
53.6,330,3.266368
52.1,330,4.546085
52.7,330,5.681104
49.4,330,6.845348
51.8,330,7.993202
49.2,330,9.145524
50.9,330,13.610898
53.4,330,14.745458
53.0,330,15.890036
51.0,330,17.049721
52.5,330,18.182025
53.2,330,19.308639
51.4,330,23.536255
52.1,330,24.672377
54.1,330,25.767595
53.7,330,26.89184
53.6,330,28.027795
51.7,330,29.153723
52.5,330,33.508309
52.3,330,34.663719
52.6,330,35.816802
54.0,330,36.947935
52.8,330,38.080477
53.1,330,39.200365
54.1,330,43.380708
53.5,330,44.512901
53.1,330,45.622026
54.1,330,46.741567
52.4,330,47.873892
53.3,330,48.995842
53.0,330,50.13159
53.0,330,54.300899
53.3,330,55.435421
53.2,330,56.5758
53.2,330,57.709219
53.6,330,58.830471
52.2,330,59.976467
53.6,330,64.146777
53.6,330,65.271385
54.0,330,66.396669
53.0,330,67.54179
54.1,330,68.674344
53.4,330,69.801023
53.2,330,73.969949
53.7,330,75.105876
53.7,330,76.244761
53.2,330,77.379525
53.4,330,78.535429
53.9,330,79.678973
54.2,330,83.856266
54.3,330,84.979046
52.7,330,86.119991
54.6,330,87.23257
53.7,330,88.35977
53.4,330,89.496882
52.5,330,93.685518
54.5,330,94.812253
54.6,330,95.969169
54.9,330,97.095036
54.7,330,98.217977
54.2,330,99.351284
54.5,330,100.506956
54.5,330,104.707407
54.7,330,105.827042
55.3,330,106.950755
55.1,330,108.07374
53.6,330,109.203756
53.7,330,110.337226
55.5,330,114.480207
54.7,330,115.600033
55.9,330,116.71298
55.3,330,117.841814
55.2,330,118.980588
54.8,330,120.102865
53.8,330,124.283857
54.7,330,125.421047
55.9,330,126.529159
55.8,330,127.655636
55.4,330,128.764022
55.9,330,129.879118
55.3,330,134.036226
54.7,330,135.171428
55.4,330,136.298645
55.2,330,137.423784
54.3,330,138.551076
54.2,330,139.68528
55.0,330,143.812029
55.2,330,144.932961
56.0,330,146.054736
55.6,330,147.183089
56.0,330,148.309033
55.2,330,149.43235
56.2,330,150.550896
55.1,330,154.692557
56.0,330,155.804796
55.8,330,156.925114
56.0,330,158.037585
55.9,330,159.16896
56.2,330,160.288917
55.9,330,164.444781
55.9,330,165.571197
56.0,330,166.72687
55.8,330,167.848328
55.7,330,168.968843
56.1,330,170.086128
55.9,330,174.225362
55.9,330,175.336914
55.6,330,176.484425
56.1,330,177.598091
55.9,330,178.722484
55.9,330,179.820932
56.3,330,183.956782
55.8,330,185.079867
56.0,330,186.213865
55.9,330,187.367024
55.7,330,188.501947
56.1,330,189.624978
55.6,330,193.760571
56.0,330,194.87778
56.0,330,195.994234
55.9,330,197.139456
55.9,330,198.241334
56.2,330,199.397056
55.7,330,200.504158
55.9,330,204.669269
55.7,330,205.788429
55.8,330,206.907332
56.0,330,208.01694
55.9,330,209.137878
55.8,330,210.259681
55.5,330,214.410672
56.0,330,215.51749
56.1,330,216.615577
55.9,330,217.733779
55.5,330,218.859383
55.9,330,219.969301
55.9,330,224.130119
55.8,330,225.262473
56.0,330,226.376343
56.0,330,227.492647
56.0,330,228.594827
56.2,330,229.711811
55.9,330,233.845823
55.9,330,234.975778
56.3,330,236.084681
55.9,330,237.198818
56.2,330,238.31747
56.3,330,239.435698
55.8,330,243.595136
56.4,330,244.701231
55.7,330,245.813063
55.6,330,246.935571
56.2,330,248.053295
56.1,330,249.174104
56.0,330,250.288263
55.9,330,254.418159
56.1,330,255.535131
56.1,330,256.650667
55.9,330,257.755789
56.0,330,258.896513
56.1,330,260.016357
56.1,330,264.15365
55.8,330,265.272925
56.2,330,266.387594
55.9,330,267.497936
55.9,330,268.603877
55.9,330,269.725024
55.7,330,273.870618
56.2,330,274.991433
56.3,330,276.103182
56.0,330,277.224796
56.0,330,278.341635
56.1,330,279.446653
56.0,330,283.580978
55.9,330,284.705447
55.9,330,285.815893
56.1,330,286.933914
56.2,330,288.047387
56.0,330,289.164382
56.1,330,293.310399
56.1,330,294.427852
56.0,330,295.545351
55.9,330,296.650666
55.9,330,297.766358
55.6,330,298.884513
55.9,330,299.999476
55.8,330,304.137797
56.1,330,305.25565
56.1,330,306.3675
56.0,330,307.488933
