#{"t_start": 1681664204.6849406, "env_id": null}
r,l,t
52.9,180,1.281633
50.1,180,2.525662
50.3,180,3.779905
51.7,180,4.945491
53.0,180,6.160283
49.0,180,7.404601
51.3,180,8.580739
49.7,180,9.854343
51.1,180,11.047036
53.5,180,12.298237
50.9,180,13.63085
50.7,180,18.381706
54.8,180,19.552045
54.3,180,20.722538
52.9,180,21.901193
51.5,180,23.052795
52.6,180,24.224217
53.5,180,25.437223
51.1,180,26.621561
54.8,180,27.800491
51.7,180,28.764418
52.7,180,29.673603
3.7,156,28.718575
51.1,156,29.797199
54.7,156,30.859146
