#{"t_start": 1681663729.7800848, "env_id": null}
r,l,t
52.9,116,1.356008
50.6,116,2.68527
49.8,116,3.966848
50.0,116,5.270172
51.4,116,6.597486
50.0,116,7.932806
51.8,116,9.161161
52.8,116,10.373599
49.4,116,11.624959
51.1,116,12.876014
51.2,116,14.14063
48.0,116,15.425675
51.4,116,16.769552
50.8,116,18.071219
53.2,116,19.341057
51.2,116,20.643971
50.6,116,21.944029
50.8,116,27.684388
52.1,116,29.111601
52.9,116,30.466181
53.4,116,31.741896
52.8,116,33.046397
53.1,116,34.265666
50.8,116,35.511869
52.0,116,36.773334
50.9,116,38.035886
50.8,116,39.274192
52.8,116,40.498446
50.0,116,41.772231
53.0,116,43.096013
52.9,116,44.402513
51.8,116,45.726583
52.0,116,46.988823
50.2,116,48.25467
53.3,116,49.504043
52.2,116,55.525943
54.1,116,56.856174
53.8,116,58.169138
52.9,116,59.484133
52.9,116,60.744374
53.4,116,61.992686
52.9,116,63.256644
54.0,116,64.462214
53.2,116,65.685812
53.8,116,66.882272
53.5,116,68.124165
53.6,116,69.449753
53.3,116,70.787306
53.5,116,72.162853
52.9,116,73.537913
52.0,116,74.831747
54.0,116,76.19846
