#{"t_start": 1681724955.7590804, "env_id": null}
r,l,t
54.2,132,2.522779
53.0,132,3.046505
51.5,132,3.575607
48.6,132,4.124408
51.4,132,4.651405
52.7,132,5.177211
48.0,132,5.719275
50.1,132,6.252418
51.1,132,6.775789
52.9,132,7.298537
52.2,132,7.823578
52.4,132,8.3543
49.2,132,8.885291
48.5,132,9.426026
50.2,132,9.961739
50.8,132,13.481766
53.1,132,14.0001
53.7,132,14.518987
54.3,132,15.043012
52.8,132,15.562484
54.3,132,16.078598
53.7,132,16.598343
51.4,132,17.116695
51.6,132,17.643789
55.5,132,18.157158
52.9,132,18.676619
52.9,132,19.196967
52.9,132,19.722393
54.9,132,20.234224
54.0,132,20.760703
52.0,132,21.289643
55.8,132,24.674527
53.9,132,25.191453
55.0,132,25.715891
55.2,132,26.231073
55.0,132,26.738887
54.2,132,27.2575
55.7,132,27.763315
53.6,132,28.280023
54.5,132,28.792504
55.3,132,29.304782
53.9,132,29.82409
55.1,132,30.33302
55.4,132,30.842116
54.1,132,31.35936
52.4,132,31.880985
54.7,132,35.410548
56.1,132,35.926141
56.5,132,36.423259
56.0,132,36.923083
55.5,132,37.424833
55.6,132,37.928901
56.8,132,38.420663
56.1,132,38.918062
56.7,132,39.415839
56.6,132,39.914455
56.5,132,40.415891
56.5,132,40.913073
56.7,132,41.409706
54.4,132,41.916377
56.8,132,42.425105
56.3,132,42.940008
56.5,132,46.304163
55.9,132,46.806755
56.7,132,47.305783
56.2,132,47.807976
56.9,132,48.308809
56.3,132,48.816197
56.3,132,49.320419
56.7,132,49.824923
55.6,132,50.338628
56.5,132,50.839082
56.4,132,51.341316
56.4,132,51.846531
55.9,132,52.353143
55.8,132,52.86279
56.3,132,53.371615
55.7,132,56.751707
56.5,132,57.253914
56.1,132,57.766124
56.4,132,58.281855
57.0,132,58.782455
55.7,132,59.281537
55.0,132,59.802284
55.4,132,60.311397
56.7,132,60.816545
56.1,132,61.32015
55.5,132,61.829371
56.4,132,62.330543
56.2,132,62.843958
56.3,132,63.348503
55.6,132,63.856685
56.8,132,64.356208
56.2,132,67.802631
56.6,132,68.304907
56.9,132,68.801791
56.8,132,69.299446
56.4,132,69.803727
56.7,132,70.311155
55.6,132,70.817722
55.5,132,71.320553
56.5,132,71.820935
56.8,132,72.318322
57.3,132,72.811799
56.5,132,73.318143
56.7,132,73.824668
56.2,132,74.332619
56.2,132,74.840397
55.5,132,78.299253
56.5,132,78.801971
56.1,132,79.310555
56.5,132,79.817381
56.2,132,80.329063
56.4,132,80.831546
56.8,132,81.332489
56.6,132,81.845427
55.7,132,82.352299
56.6,132,82.859579
54.9,132,83.371594
56.2,132,83.877026
56.5,132,84.384193
56.5,132,84.888842
56.5,132,85.400905
56.2,132,85.908777
57.0,132,89.343354
56.5,132,89.847507
55.6,132,90.354942
56.2,132,90.859076
56.4,132,91.372735
56.7,132,91.866767
57.1,132,92.361284
55.9,132,92.876404
56.3,132,93.38995
56.0,132,93.901484
56.4,132,94.396884
55.7,132,94.910135
56.8,132,95.410616
56.3,132,95.912987
56.3,132,96.414367
55.1,132,99.804667
55.7,132,100.31725
55.6,132,100.828973
56.3,132,101.339391
56.3,132,101.841589
56.4,132,102.345258
56.9,132,102.840685
55.6,132,103.347702
55.9,132,103.854146
56.1,132,104.361004
56.5,132,104.865923
55.7,132,105.374827
56.6,132,105.921159
56.8,132,106.440305
56.2,132,106.981979
55.3,132,107.536577
56.2,132,110.989278
56.1,132,111.515719
56.0,132,112.022935
56.5,132,112.537609
56.5,132,113.064023
56.4,132,113.596478
56.9,132,114.120512
56.2,132,114.664431
56.5,132,115.172551
57.0,132,115.669626
55.5,132,116.173838
55.4,132,116.688873
55.8,132,117.197375
56.7,132,117.702198
55.9,132,118.209937
56.4,132,121.659218
57.0,132,122.161795
56.3,132,122.662616
56.9,132,123.164011
56.8,132,123.663539
56.7,132,124.162194
56.2,132,124.665705
55.6,132,125.167777
56.3,132,125.66969
56.9,132,126.172658
56.3,132,126.680222
55.9,132,127.182263
56.0,132,127.687115
56.5,132,128.190823
56.5,132,128.693964
55.7,132,129.201003
56.8,132,132.649287
56.1,132,133.15933
56.2,132,133.672685
56.8,132,134.175407
56.6,132,134.685091
56.9,132,135.192396
56.5,132,135.705641
56.5,132,136.208229
56.4,132,136.712391
56.8,132,137.206548
56.3,132,137.72164
56.7,132,138.224019
56.4,132,138.73723
56.5,132,139.244843
56.6,132,139.756766
57.0,132,143.243551
56.6,132,143.746843
56.6,132,144.24765
56.9,132,144.780064
57.1,132,145.303211
57.0,132,145.839598
57.0,132,146.342548
56.6,132,146.851018
57.2,132,147.346716
56.5,132,147.852371
57.0,132,148.350514
56.9,132,148.848437
56.9,132,149.344296
56.5,132,149.846484
56.6,132,150.348764
56.9,132,150.848376
56.8,132,154.288324
56.6,132,154.788525
56.6,132,155.288651
56.8,132,155.800451
56.3,132,156.301817
57.0,132,156.798616
56.9,132,157.291935
56.9,132,157.793926
57.1,132,158.295745
57.2,132,158.790283
56.9,132,159.288132
57.0,132,159.783857
56.7,132,160.285814
57.0,132,160.778654
56.8,132,161.285373
56.7,132,164.756269
56.5,132,165.258738
56.5,132,165.759842
57.0,132,166.253181
56.9,132,166.746955
57.0,132,167.244802
56.7,132,167.742703
57.1,132,168.232589
56.7,132,168.732128
56.9,132,169.229636
57.0,132,169.731863
56.9,132,170.239428
56.6,132,170.739444
56.6,132,171.247662
56.8,132,171.747792
57.2,132,172.243512
56.9,132,175.713445
56.9,132,176.25451
56.4,132,176.785566
57.1,132,177.281816
57.0,132,177.77762
56.7,132,178.2898
57.1,132,178.808333
56.9,132,179.319395
56.9,132,179.816931
56.7,132,180.314588
56.9,132,180.808894
56.8,132,181.308196
57.0,132,181.809759
56.5,132,182.345049
57.2,132,182.849544
57.0,132,186.329452
57.2,132,186.828221
56.9,132,187.326457
57.0,132,187.824673
57.3,132,188.326865
56.8,132,188.824295
56.8,132,189.327313
57.2,132,189.828639
56.8,132,190.331228
57.0,132,190.830274
56.8,132,191.332304
57.1,132,191.830042
57.0,132,192.324002
56.8,132,192.838985
57.1,132,193.338467
56.7,132,193.838178
56.6,132,197.302659
57.1,132,197.802776
56.9,132,198.303733
56.9,132,198.805128
56.6,132,199.315364
56.7,132,199.815659
56.9,132,200.321464
57.0,132,200.816411
56.9,132,201.325151
56.9,132,201.825485
56.9,132,202.329628
57.0,132,202.836829
57.0,132,203.337688
57.1,132,203.839128
56.9,132,204.341535
57.2,132,207.794705
57.1,132,208.293045
56.8,132,208.793322
57.1,132,209.301064
57.0,132,209.802549
57.4,132,210.296953
57.3,132,210.791272
57.1,132,211.299347
56.9,132,211.806537
57.0,132,212.306441
57.0,132,212.802931
56.9,132,213.312952
56.9,132,213.812189
56.9,132,214.313268
56.3,132,214.828179
57.3,132,215.326007
56.9,132,218.819482
56.6,132,219.317174
57.0,132,219.811529
57.0,132,220.305517
56.8,132,220.80865
56.9,132,221.308717
56.8,132,221.802426
57.1,132,222.302416
57.4,132,222.795882
57.0,132,223.294579
56.8,132,223.785665
57.0,132,224.292489
57.1,132,224.793846
57.0,132,225.299525
57.1,132,225.80424
57.0,132,229.274289
56.7,132,229.777517
57.3,132,230.282917
57.2,132,230.781319
57.1,132,231.277539
57.1,132,231.773189
57.2,132,232.269172
57.0,132,232.773278
57.0,132,233.277687
57.2,132,233.775142
56.7,132,234.287596
56.9,132,234.785475
57.0,132,235.288221
57.0,132,235.789906
57.0,132,236.29052
56.9,132,236.792395
57.0,132,240.244247
56.9,132,240.751641
57.1,132,241.254382
57.2,132,241.759106
57.2,132,242.255999
57.0,132,242.759151
56.7,132,243.255543
56.9,132,243.758846
56.9,132,244.266505
56.9,132,244.768186
56.7,132,245.276419
56.9,132,245.771651
56.9,132,246.27881
57.2,132,246.774526
57.1,132,247.269965
56.8,132,250.720506
56.8,132,251.230686
56.9,132,251.7302
57.0,132,252.240071
57.3,132,252.735517
57.0,132,253.23545
57.2,132,253.743602
57.2,132,254.24694
56.8,132,254.760845
57.2,132,255.265794
57.2,132,255.768949
56.6,132,256.279207
57.0,132,256.778108
57.4,132,257.271012
57.1,132,257.770216
57.0,132,258.266607
56.9,132,261.72534
57.2,132,262.22375
57.2,132,262.71847
56.9,132,263.214766
57.0,132,263.70876
56.8,132,264.212224
57.2,132,264.707188
57.0,132,265.207374
57.1,132,265.717948
56.9,132,266.217876
56.9,132,266.719683
57.1,132,267.222844
57.1,132,267.729654
56.9,132,268.235639
56.9,132,268.749018
56.8,132,272.212661
57.0,132,272.708067
57.3,132,273.202127
57.2,132,273.706658
56.9,132,274.201164
56.9,132,274.700387
57.2,132,275.204696
57.0,132,275.705644
57.1,132,276.216248
56.9,132,276.719733
56.9,132,277.215273
57.2,132,277.715668
56.8,132,278.213318
56.9,132,278.720273
56.9,132,279.221872
57.1,132,279.728426
57.0,132,283.213904
56.9,132,283.724199
57.0,132,284.217406
57.2,132,284.715837
56.8,132,285.213401
56.7,132,285.719457
56.9,132,286.215936
57.0,132,286.719561
57.1,132,287.216424
56.8,132,287.723596
57.0,132,288.221947
56.9,132,288.731115
57.3,132,289.226793
57.2,132,289.72325
56.9,132,290.219855
56.9,132,293.687229
56.9,132,294.183169
56.9,132,294.68639
56.9,132,295.19981
57.2,132,295.69715
57.0,132,296.195991
57.2,132,296.696247
57.0,132,297.190398
56.9,132,297.692574
57.0,132,298.189567
57.1,132,298.680796
57.0,132,299.180459
57.2,132,299.680037
56.9,132,300.179302
56.7,132,300.682278
57.1,132,301.18239
56.9,132,304.66263
56.7,132,305.160485
56.9,132,305.662675
57.1,132,306.155541
56.8,132,306.6554
56.9,132,307.160111
57.0,132,307.668212
57.1,132,308.174091
57.0,132,308.67203
56.9,132,309.180941
57.0,132,309.680228
57.1,132,310.182176
57.0,132,310.68486
56.5,132,311.183926
57.3,132,311.683504
56.8,132,315.25883
57.0,132,315.939348
57.2,132,316.57448
57.1,132,317.150057
57.0,132,317.70651
57.0,132,318.38691
57.1,132,318.906537
57.4,132,319.415865
56.8,132,320.125129
56.7,132,320.641178
57.0,132,321.281791
57.0,132,321.786091
56.9,132,322.286449
56.9,132,322.783979
57.4,132,323.493343
57.2,132,324.009771
56.9,132,327.393143
57.1,132,327.896927
57.0,132,328.400824
57.2,132,328.904965
57.3,132,329.413141
57.2,132,329.915313
56.9,132,330.42517
57.2,132,330.926582
57.0,132,331.494345
56.7,132,332.002899
57.1,132,332.506559
56.9,132,333.010605
57.1,132,333.521529
57.1,132,334.080881
56.9,132,334.602615
57.2,132,338.225917
56.7,132,338.723751
56.9,132,339.225726
57.2,132,339.723108
57.1,132,340.235044
56.8,132,340.746424
57.1,132,341.249541
57.3,132,341.75611
57.0,132,342.26098
57.1,132,342.764037
57.2,132,343.276
56.9,132,343.779715
57.0,132,344.279923
56.9,132,344.784863
57.0,132,345.295025
56.8,132,345.795403
56.8,132,349.187437
57.3,132,349.688117
57.1,132,350.193123
57.0,132,350.69608
57.1,132,351.197546
57.0,132,351.701301
57.0,132,352.201145
57.0,132,352.712664
56.9,132,353.213057
56.9,132,353.71656
56.9,132,354.228711
57.0,132,354.727669
57.0,132,355.230957
57.2,132,355.740711
56.9,132,356.243804
57.2,132,356.741604
56.8,132,360.118277
56.9,132,360.624444
57.2,132,361.125128
57.1,132,361.630798
57.0,132,362.132322
57.0,132,362.633577
57.0,132,363.138789
57.1,132,363.647582
57.2,132,364.147586
57.0,132,364.670265
57.0,132,365.176441
57.0,132,365.687918
56.9,132,366.189827
57.2,132,366.69494
57.0,132,367.19313
57.1,132,370.658792
57.1,132,371.175332
57.1,132,371.684347
57.2,132,372.193367
57.0,132,372.698093
57.1,132,373.202861
56.9,132,373.715855
56.9,132,374.216049
56.9,132,374.721527
57.1,132,375.225927
56.9,132,375.73005
57.1,132,376.236267
57.0,132,376.749585
57.1,132,377.268204
57.2,132,377.784996
57.4,132,378.313684
57.1,132,381.841173
57.0,132,382.387687
57.0,132,382.920629
56.9,132,383.419803
57.0,132,383.947232
56.9,132,384.462287
56.8,132,384.971838
57.2,132,385.50004
57.2,132,386.024115
56.9,132,386.539932
56.7,132,387.073271
57.3,132,387.59605
56.8,132,388.125854
57.1,132,388.643106
57.0,132,389.153926
56.9,132,392.6429
57.1,132,393.151148
56.7,132,393.663241
56.7,132,394.264438
57.1,132,394.762346
57.0,132,395.267331
57.1,132,395.767078
57.1,132,396.276417
56.8,132,396.782567
56.9,132,397.282665
56.8,132,397.786542
57.1,132,398.287787
57.1,132,398.798844
57.1,132,399.29929
57.0,132,399.816431
56.9,132,400.342476
56.8,132,403.935902
57.3,132,404.441726
56.8,132,404.945314
57.0,132,405.447237
56.7,132,405.960481
57.1,132,406.467768
57.1,132,406.993251
56.8,132,407.538925
57.3,132,408.070275
57.1,132,408.598783
56.9,132,409.115153
56.9,132,409.629152
57.1,132,410.133469
57.0,132,410.648454
56.9,132,411.180377
57.0,132,414.680799
57.3,132,415.192858
56.9,132,415.692149
57.2,132,416.185789
56.3,132,416.686173
57.0,132,417.188275
57.1,132,417.696487
56.9,132,418.199207
57.2,132,418.694957
56.8,132,419.198251
57.1,132,419.70113
57.1,132,420.207202
57.0,132,420.715937
57.0,132,421.219326
57.2,132,421.722711
57.0,132,422.223972
57.2,132,425.693886
57.2,132,426.20308
57.1,132,426.713843
57.2,132,427.220864
57.2,132,427.718896
57.1,132,428.218752
57.2,132,428.729726
57.2,132,429.230529
57.0,132,429.727934
56.9,132,430.231035
57.1,132,430.728331
57.0,132,431.247713
57.1,132,431.751137
57.0,132,432.258386
57.0,132,432.768372
56.8,132,436.165652
57.2,132,436.671973
57.3,132,437.182293
56.9,132,437.695282
57.1,132,438.198486
57.2,132,438.70681
57.0,132,439.218796
56.8,132,439.718837
56.9,132,440.214932
57.0,132,440.706984
57.2,132,441.212585
57.2,132,441.713283
57.1,132,442.234991
57.1,132,442.739345
57.2,132,443.250107
57.1,132,443.749977
56.9,132,447.157398
57.0,132,447.656482
57.0,132,448.153673
57.0,132,448.656745
57.0,132,449.163945
57.0,132,449.666067
57.2,132,450.16474
56.9,132,450.661708
57.1,132,451.165768
56.9,132,451.664455
57.2,132,452.158263
56.9,132,452.653394
56.9,132,453.146187
56.9,132,453.646741
57.2,132,454.146827
56.9,132,457.525094
57.0,132,458.048835
56.7,132,458.574286
57.4,132,459.084608
56.9,132,459.591622
57.0,132,460.108926
57.2,132,460.620707
57.3,132,461.129239
57.3,132,461.638662
57.1,132,462.149356
57.0,132,462.669339
57.2,132,463.185888
57.1,132,463.687477
57.1,132,464.193589
57.2,132,464.707968
57.4,132,465.227685
57.2,132,468.699282
57.2,132,469.197155
56.9,132,469.689941
56.9,132,470.213066
57.3,132,470.740651
56.9,132,471.239191
57.0,132,471.737543
57.2,132,472.230366
57.2,132,472.742923
57.2,132,473.255649
57.0,132,473.760218
56.9,132,474.267537
57.0,132,474.772861
57.2,132,475.283459
57.3,132,475.787615
56.9,132,478.097607
57.0,132,478.599686
57.2,132,479.098854
56.7,132,479.606272
57.2,132,480.116293
57.2,132,480.625003
56.9,132,481.119116
57.1,132,481.614326
57.0,132,482.120386
57.2,132,482.616516
57.1,132,483.112669
57.3,132,483.61683
57.0,132,484.118023
57.1,132,484.619817
57.0,132,485.112242
57.0,132,485.60955
57.2,132,487.534339
57.1,132,488.032009
57.0,132,488.526534
57.2,132,489.025004
57.1,132,489.526298
57.0,132,490.022915
57.1,132,490.534713
57.0,132,491.031337
57.2,132,491.529288
57.3,132,492.025819
57.1,132,492.526417
57.1,132,493.030882
57.0,132,493.524352
57.2,132,494.019309
57.1,132,494.513866
57.2,132,496.440155
57.2,132,496.938779
57.1,132,497.434045
57.0,132,497.933866
57.1,132,498.43005
56.9,132,498.924144
57.0,132,499.424248
56.8,132,499.921488
57.2,132,500.407734
57.0,132,500.903072
57.0,132,501.406846
57.0,132,501.912717
57.1,132,502.408986
56.9,132,502.912018
56.8,132,503.411894
57.0,132,503.90416
57.3,132,505.830369
57.0,132,506.333935
56.9,132,506.830214
57.1,132,507.323795
57.1,132,507.821966
57.1,132,508.316189
56.9,132,508.814864
57.2,132,509.319235
56.9,132,509.826662
56.9,132,510.335412
57.1,132,510.83589
57.3,132,511.334784
56.9,132,511.841658
57.1,132,512.342174
57.1,132,512.839171
57.2,132,514.777026
57.2,132,515.272144
57.3,132,515.764616
57.0,132,516.270648
57.2,132,516.768287
57.2,132,517.260813
57.0,132,517.756183
57.1,132,518.258475
57.1,132,518.762734
57.1,132,519.261516
56.9,132,519.758662
56.8,132,520.253894
57.1,132,520.763478
57.3,132,521.258984
57.1,132,521.755362
57.3,132,522.248751
57.1,132,524.218192
57.3,132,524.716522
56.8,132,525.21478
57.1,132,525.714432
57.1,132,526.213657
57.2,132,526.844463
57.2,132,527.359196
57.0,132,527.86406
57.1,132,528.426286
57.3,132,528.931276
57.2,132,529.430832
56.8,132,529.935993
57.2,132,530.445622
57.1,132,530.952436
57.4,132,531.465347
56.9,132,535.025032
57.2,132,535.534204
56.8,132,536.040702
57.2,132,536.535431
57.1,132,537.033564
57.0,132,537.53883
57.1,132,538.045964
57.3,132,538.54163
57.2,132,539.037046
57.2,132,539.527638
57.2,132,540.027776
57.3,132,540.528786
57.0,132,541.029696
57.3,132,541.522141
57.2,132,542.020328
57.2,132,542.527612
57.1,132,545.989467
57.2,132,546.494699
56.9,132,547.003738
56.9,132,547.517528
57.2,132,548.019496
57.2,132,548.526714
57.2,132,549.022784
57.3,132,549.524418
57.3,132,550.012266
57.0,132,550.509252
57.1,132,551.002959
57.3,132,551.496621
57.2,132,551.991517
57.1,132,552.485866
56.8,132,552.981755
57.3,132,556.452507
57.3,132,556.953293
57.1,132,557.448922
57.1,132,557.943515
57.0,132,558.446242
57.2,132,558.938555
57.0,132,559.440736
57.0,132,559.949089
56.5,132,560.464178
57.2,132,560.964576
57.1,132,561.460583
57.0,132,561.960804
57.1,132,562.465959
57.2,132,562.96323
57.2,132,563.46798
57.3,132,563.969379
57.0,132,566.554594
57.1,132,567.058458
57.0,132,567.560336
57.2,132,568.061686
57.0,132,568.554356
57.2,132,569.052659
57.0,132,569.558032
57.0,132,570.053414
57.3,132,570.555938
57.1,132,571.061558
57.2,132,571.562862
57.0,132,572.074688
56.9,132,572.58078
57.2,132,573.083484
57.2,132,573.606565
57.0,132,575.665444
57.2,132,576.193755
56.9,132,576.71416
57.2,132,577.215982
57.2,132,577.748374
57.3,132,578.279516
57.0,132,578.808246
57.1,132,579.307077
57.2,132,579.806031
57.2,132,580.305187
57.2,132,580.823426
57.0,132,581.335052
57.1,132,581.82738
57.4,132,582.325848
57.2,132,582.824092
57.3,132,583.336422
57.4,132,586.821821
57.0,132,587.317033
57.2,132,587.818742
57.2,132,588.324969
57.2,132,588.831165
57.4,132,589.354057
57.3,132,589.91092
56.9,132,590.445188
57.1,132,590.997465
57.3,132,591.497073
57.3,132,591.998612
57.1,132,592.514666
57.2,132,593.022564
56.5,132,593.535546
57.2,132,594.042254
57.1,132,597.506484
57.2,132,598.014201
57.1,132,598.517702
57.4,132,599.018435
57.3,132,599.519812
57.2,132,600.021812
57.3,132,600.531354
57.4,132,601.025576
57.2,132,601.534744
57.1,132,602.026979
57.2,132,602.53123
57.2,132,603.037958
57.2,132,603.545767
57.2,132,604.050994
57.2,132,604.556294
57.2,132,605.059492
57.1,132,608.591628
57.2,132,609.105593
57.3,132,609.613339
57.3,132,610.129988
57.2,132,610.645773
57.2,132,611.161639
57.2,132,611.678519
57.2,132,612.190363
57.4,132,612.702267
57.4,132,613.219147
57.2,132,613.732325
56.9,132,614.235945
57.4,132,614.744678
57.2,132,615.259959
57.2,132,615.766714
57.4,132,619.264194
57.2,132,619.774682
57.2,132,620.286186
57.3,132,620.793457
57.3,132,621.29759
57.2,132,621.799289
57.3,132,622.304854
57.2,132,622.813315
57.2,132,623.320619
57.3,132,623.825891
57.2,132,624.333023
57.2,132,624.824887
57.2,132,625.336778
57.2,132,625.845261
57.2,132,626.35453
57.2,132,626.860674
57.2,132,630.333896
57.4,132,630.840273
57.2,132,631.338107
57.2,132,631.843227
57.2,132,632.355107
57.2,132,632.861372
57.2,132,633.369995
57.1,132,633.872473
57.5,132,634.37781
57.2,132,634.886409
57.3,132,635.391452
57.2,132,635.914826
57.5,132,636.418896
57.2,132,636.930752
57.1,132,637.459094
57.2,132,640.964347
57.4,132,641.477307
57.3,132,641.978678
57.2,132,642.489741
57.3,132,643.000804
57.2,132,643.512261
57.0,132,644.029516
57.1,132,644.550073
57.1,132,645.059988
57.2,132,645.563315
56.8,132,646.071445
57.1,132,646.618766
57.2,132,647.155726
57.2,132,647.675342
57.3,132,648.200012
57.3,132,648.721365
57.2,132,652.236806
57.2,132,652.74346
57.2,132,653.273765
57.1,132,653.785068
57.2,132,654.295105
57.3,132,654.828418
56.4,132,655.409838
57.2,132,655.996761
57.2,132,656.565681
57.1,132,657.076405
57.2,132,657.582865
57.3,132,658.088459
57.2,132,658.591869
57.3,132,659.097971
57.2,132,659.603681
57.1,132,663.078708
57.1,132,663.582322
57.3,132,664.08939
57.2,132,664.658193
57.2,132,665.161192
57.1,132,665.669053
57.2,132,666.172834
57.1,132,666.677024
57.3,132,667.180223
57.2,132,667.683973
57.1,132,668.186505
57.2,132,668.692387
57.3,132,669.199927
57.2,132,669.705469
57.2,132,670.208276
57.2,132,670.710368
57.2,132,674.163864
57.2,132,674.671998
57.3,132,675.188911
57.2,132,675.691091
57.2,132,676.195039
57.2,132,676.696754
57.2,132,677.221755
57.2,132,677.762307
57.2,132,678.28834
57.2,132,678.820058
57.2,132,679.334128
57.2,132,679.84375
57.2,132,680.363065
57.1,132,680.884558
57.2,132,681.398809
57.2,132,684.867189
57.2,132,685.373516
57.2,132,685.902074
57.2,132,686.41499
57.1,132,687.004425
57.2,132,687.623483
57.2,132,688.21638
57.3,132,688.777661
57.1,132,689.28073
57.2,132,689.782632
57.2,132,690.287496
57.4,132,690.789914
57.2,132,691.292844
57.2,132,691.79876
57.2,132,692.305497
57.3,132,692.808847
57.2,132,696.283132
57.2,132,696.785992
57.2,132,697.290066
57.2,132,697.79485
57.3,132,698.299763
57.2,132,698.805028
57.2,132,699.308229
57.2,132,699.811932
57.2,132,700.314906
57.2,132,700.818336
57.2,132,701.324753
57.3,132,701.831528
57.2,132,702.336686
57.1,132,702.840827
57.2,132,703.341811
57.2,132,703.844536
57.2,132,707.341384
57.2,132,707.845194
57.2,132,708.34689
57.2,132,708.853579
57.2,132,709.354419
57.2,132,709.858479
57.3,132,710.360105
57.2,132,710.864049
57.2,132,711.36508
57.2,132,711.870528
57.2,132,712.374318
57.5,132,712.883732
57.3,132,713.385526
57.2,132,713.885368
57.2,132,714.389011
57.2,132,717.875535
57.2,132,718.379074
57.2,132,718.880759
57.1,132,719.388881
57.2,132,719.893778
57.2,132,720.398933
57.3,132,720.90576
57.2,132,721.408452
57.2,132,721.912324
57.2,132,722.415785
57.2,132,722.919807
57.2,132,723.426026
57.3,132,723.932249
57.2,132,724.441118
57.2,132,724.947009
57.2,132,725.477221
57.2,132,728.962459
57.2,132,729.480347
57.0,132,729.986208
57.2,132,730.494715
57.2,132,731.004489
57.4,132,731.508426
57.3,132,732.017577
57.3,132,732.544651
57.4,132,733.067505
57.4,132,733.688647
57.3,132,734.269873
57.2,132,734.779902
57.3,132,735.330241
57.2,132,735.893288
57.1,132,736.395445
57.5,132,739.862974
57.3,132,740.365127
