#{"t_start": 1681800238.2484741, "env_id": null}
r,l,t
126.1,180,2.823884
125.6,180,3.51362
126.1,180,4.295494
125.6,180,4.987709
125.9,180,5.677978
126.7,180,6.351831
125.5,180,7.040469
124.7,180,7.712838
127.2,180,8.392434
125.3,180,9.081702
125.3,180,9.777495
125.1,180,13.541659
126.1,180,14.218046
127.3,180,14.889215
126.5,180,15.581309
126.6,180,16.296882
125.5,180,16.995587
126.6,180,17.682882
126.5,180,18.359072
125.3,180,19.047706
126.8,180,19.731736
127.3,180,20.413009
126.3,180,24.169039
126.4,180,24.850333
125.7,180,25.52335
125.8,180,26.216964
126.7,180,26.890035
126.7,180,27.568521
125.7,180,28.247805
126.6,180,28.927256
126.2,180,29.605236
125.6,180,30.289737
126.6,180,31.131032
126.3,180,31.85675
126.3,180,35.549655
126.5,180,36.226459
127.3,180,36.908831
127.0,180,37.578536
125.9,180,38.259443
127.1,180,38.934029
127.0,180,39.594877
127.7,180,40.254563
127.1,180,40.926145
126.0,180,41.603185
127.9,180,42.261143
126.7,180,45.983664
126.9,180,46.644019
127.4,180,47.311286
126.5,180,47.977027
127.2,180,48.649415
126.9,180,49.32046
126.4,180,49.981018
127.3,180,50.642356
127.4,180,51.30139
127.5,180,51.974202
127.3,180,52.631397
127.9,180,56.29439
128.6,180,56.942322
126.3,180,57.60395
126.7,180,58.270507
127.9,180,58.929546
126.8,180,59.601116
127.2,180,60.252683
128.1,180,60.896507
128.1,180,61.543965
128.5,180,62.198725
127.7,180,62.86284
127.1,180,63.553128
128.5,180,67.278561
127.4,180,67.94694
128.0,180,68.629853
127.5,180,69.316805
127.6,180,69.995251
127.6,180,70.683741
128.2,180,71.375952
128.1,180,72.054719
128.5,180,72.720042
127.0,180,73.406833
128.1,180,74.081994
128.1,180,77.782261
128.1,180,78.462973
128.6,180,79.146538
129.0,180,79.824001
127.9,180,80.497093
128.0,180,81.183135
128.4,180,81.878898
128.1,180,82.549506
127.9,180,83.22437
128.5,180,83.901152
127.5,180,84.586764
128.2,180,85.266781
128.2,180,88.981611
128.9,180,89.64309
128.3,180,90.285116
128.2,180,90.917156
127.8,180,91.579896
128.6,180,92.220243
128.3,180,92.873426
129.0,180,93.521295
129.0,180,94.171018
127.8,180,94.83485
128.3,180,95.488454
128.5,180,99.143198
128.6,180,99.799372
128.7,180,100.452982
128.3,180,101.096129
128.8,180,101.747656
128.1,180,102.389174
128.4,180,103.031655
128.5,180,103.678099
128.6,180,104.323178
128.1,180,104.966776
128.6,180,105.609956
128.3,180,109.2742
129.0,180,109.923818
129.0,180,110.572312
128.6,180,111.211118
128.8,180,111.854386
127.9,180,112.507234
128.4,180,113.148211
128.1,180,113.799858
128.1,180,114.456843
128.4,180,115.094188
128.6,180,115.725849
129.3,180,116.368407
128.9,180,120.034152
128.7,180,120.684009
129.3,180,121.320035
128.4,180,121.955355
128.9,180,122.59484
128.1,180,123.230913
129.2,180,123.880429
128.8,180,124.527182
128.4,180,125.171204
128.1,180,125.824668
128.9,180,126.464228
128.5,180,130.127921
128.8,180,130.764049
128.9,180,131.430236
128.0,180,132.087822
128.2,180,132.730898
129.1,180,133.36647
128.7,180,134.003545
128.9,180,134.644691
128.9,180,135.288251
129.2,180,135.92233
128.8,180,136.552635
129.1,180,140.2614
128.8,180,140.929925
128.7,180,141.58252
128.8,180,142.227753
128.4,180,142.865688
128.2,180,143.498971
129.3,180,144.140812
128.5,180,144.781592
128.0,180,145.424615
128.8,180,146.075948
129.3,180,146.72058
128.9,180,147.360725
128.7,180,151.028407
129.4,180,151.672718
127.9,180,152.322621
128.4,180,152.960828
128.5,180,153.608241
128.2,180,154.261281
128.4,180,154.895182
128.9,180,155.538842
128.6,180,156.183083
128.3,180,156.824172
128.8,180,157.462163
128.5,180,161.126004
129.0,180,161.767242
128.2,180,162.404444
127.7,180,163.03962
128.9,180,163.684775
128.5,180,164.32193
128.3,180,164.959234
128.4,180,165.590737
128.8,180,166.230584
128.9,180,166.872461
128.2,180,167.508224
128.0,180,168.144259
128.8,180,171.774494
129.2,180,172.409295
128.6,180,173.050964
128.4,180,173.690814
127.9,180,174.338757
128.9,180,174.994366
128.5,180,175.62878
128.7,180,176.279286
128.6,180,176.962855
129.2,180,177.63099
129.2,180,178.302375
128.8,180,182.022983
128.8,180,182.689312
129.1,180,183.359096
128.7,180,184.019513
128.3,180,184.674896
128.7,180,185.334621
128.8,180,185.996737
128.9,180,186.658377
128.6,180,187.323113
128.5,180,187.985346
128.5,180,188.656142
129.2,180,192.333068
127.9,180,193.009802
129.0,180,193.668105
128.6,180,194.324922
128.6,180,194.984826
129.6,180,195.646038
128.8,180,196.306025
128.5,180,196.973688
128.5,180,197.633993
128.7,180,198.3014
128.3,180,198.959113
128.9,180,199.620192
128.5,180,203.249285
128.9,180,203.883686
128.4,180,204.515826
128.3,180,205.152215
129.3,180,205.793802
128.4,180,206.425624
129.1,180,207.06811
128.6,180,207.706553
128.2,180,208.357652
129.4,180,209.006883
128.5,180,209.663575
129.6,180,213.317003
128.4,180,213.993534
128.5,180,214.673699
129.7,180,215.339266
128.5,180,215.997038
128.4,180,216.655087
128.2,180,217.294505
128.5,180,217.926941
128.4,180,218.583016
128.5,180,219.243047
128.9,180,219.897824
128.2,180,223.60119
128.9,180,224.255456
128.5,180,224.90984
128.9,180,225.562783
128.4,180,226.216319
128.5,180,226.86113
129.3,180,227.525453
128.3,180,228.182974
128.9,180,228.835791
129.0,180,229.49418
128.6,180,230.15148
128.9,180,230.80925
128.7,180,234.489669
129.1,180,235.159174
128.6,180,235.83618
128.9,180,236.489744
128.5,180,237.144913
128.3,180,237.802333
129.0,180,238.472146
128.9,180,239.13292
128.5,180,239.793162
128.8,180,240.451902
128.2,180,241.127029
128.5,180,244.861402
128.8,180,245.509039
128.7,180,246.171926
128.7,180,246.833327
129.1,180,247.494091
128.3,180,248.144914
128.4,180,248.804173
128.8,180,249.45229
129.0,180,250.106673
128.8,180,250.770273
129.6,180,251.425226
128.3,180,252.087134
128.6,180,255.754775
128.4,180,256.416252
129.0,180,257.069394
129.0,180,257.729349
127.9,180,258.387084
129.1,180,259.050819
128.5,180,259.694199
128.2,180,260.325879
128.8,180,260.9563
129.0,180,261.622464
128.2,180,262.251886
128.1,180,266.055453
128.9,180,266.686679
128.8,180,267.316372
128.9,180,267.956037
128.9,180,268.595348
128.8,180,269.224453
128.7,180,269.87077
128.2,180,270.500272
128.6,180,271.127951
128.9,180,271.750954
129.5,180,272.382384
128.5,180,276.085547
128.6,180,276.724545
129.7,180,277.37031
129.0,180,278.008763
129.0,180,278.638887
128.3,180,279.272632
129.2,180,279.913128
128.5,180,280.542798
128.8,180,281.188687
128.6,180,281.82121
128.9,180,282.465895
129.2,180,283.103011
129.0,180,286.796886
128.6,180,287.437865
128.5,180,288.068921
129.6,180,288.712234
128.4,180,289.348431
129.5,180,289.991523
128.9,180,290.627018
128.9,180,291.260676
128.7,180,291.928933
128.7,180,292.573204
128.7,180,293.215829
128.1,180,296.959267
128.8,180,297.595139
128.8,180,298.292696
129.6,180,298.95719
129.0,180,299.601649
128.4,180,300.242868
128.9,180,300.886104
128.4,180,301.528363
129.1,180,302.178796
128.4,180,302.823364
128.9,180,303.614961
129.5,180,307.295244
128.8,180,307.931983
128.9,180,308.56628
128.5,180,309.199279
128.7,180,309.829934
128.3,180,310.471251
129.5,180,311.104229
128.4,180,311.817079
129.1,180,312.50464
128.5,180,313.286572
128.9,180,313.925239
129.1,180,314.57612
129.0,180,318.29696
128.8,180,318.937994
128.7,180,319.568002
128.2,180,320.202334
128.8,180,320.863494
128.7,180,321.559732
128.7,180,322.209425
129.0,180,322.854327
128.9,180,323.483377
128.3,180,324.124185
128.4,180,324.767428
128.9,180,328.461977
128.6,180,329.10956
128.8,180,329.762427
129.0,180,330.404522
129.0,180,331.041713
128.9,180,331.680002
129.0,180,332.319762
128.3,180,332.969515
128.9,180,333.602547
128.9,180,334.242642
128.9,180,334.875252
129.1,180,335.514986
128.9,180,339.158329
128.5,180,339.795182
128.6,180,340.437893
128.6,180,341.086355
129.0,180,341.724303
128.7,180,342.391978
128.5,180,343.023181
129.4,180,343.658973
128.8,180,344.284461
128.9,180,344.913287
129.2,180,345.549044
128.8,180,349.175977
128.9,180,349.805437
129.0,180,350.455207
129.5,180,351.105209
128.4,180,351.743619
128.9,180,352.381739
128.4,180,353.0183
129.2,180,353.664666
128.9,180,354.297033
129.1,180,354.942502
128.2,180,355.578444
128.9,180,359.22644
129.0,180,359.853254
128.8,180,360.481013
128.9,180,361.121884
128.5,180,361.772751
128.5,180,362.398837
128.7,180,363.028888
128.7,180,363.649971
128.7,180,364.275184
129.2,180,364.901151
128.8,180,365.523667
128.4,180,366.168518
128.5,180,369.829062
128.9,180,370.460205
129.0,180,371.098922
129.3,180,371.723249
128.9,180,372.349138
129.1,180,372.979682
128.4,180,373.639245
128.7,180,374.282816
128.4,180,374.922395
128.8,180,375.557887
128.2,180,376.178342
128.9,180,379.844408
129.0,180,380.475567
128.4,180,381.126693
128.8,180,381.753404
128.9,180,382.384082
128.9,180,383.016848
128.9,180,383.648916
128.5,180,384.284961
129.1,180,384.926718
128.8,180,385.552725
128.7,180,386.197487
128.4,180,389.848455
128.7,180,390.48216
128.4,180,391.112207
128.3,180,391.746674
128.7,180,392.387148
128.6,180,393.018652
128.9,180,393.646242
129.0,180,394.281149
128.3,180,394.903399
129.0,180,395.535143
129.0,180,396.171441
128.3,180,396.825449
128.5,180,400.459609
129.2,180,401.114583
128.7,180,401.741904
128.9,180,402.371193
128.6,180,403.000308
128.4,180,403.628168
128.9,180,404.254986
127.8,180,404.905074
128.8,180,405.5347
128.8,180,406.164584
128.8,180,406.786621
128.9,180,410.40758
128.3,180,411.045787
128.9,180,411.69357
129.4,180,412.324294
128.4,180,412.964743
128.4,180,413.588985
128.2,180,414.217885
128.2,180,414.848222
129.3,180,415.468461
128.2,180,416.108156
128.7,180,416.738321
128.3,180,417.379671
128.3,180,421.035054
127.9,180,421.675863
128.4,180,422.329591
129.0,180,422.980984
128.5,180,423.610763
128.9,180,424.282208
128.9,180,424.977309
128.7,180,425.633923
128.4,180,426.286368
128.4,180,426.92872
128.8,180,427.575272
128.9,180,431.248789
128.1,180,431.876054
128.8,180,432.512322
128.8,180,433.147726
128.3,180,433.786499
128.2,180,434.418101
129.4,180,435.048999
128.8,180,435.679088
128.8,180,436.306932
128.4,180,436.95469
129.3,180,437.58748
128.7,180,441.21534
128.3,180,441.852677
128.9,180,442.48292
128.8,180,443.121829
128.4,180,443.763824
128.8,180,444.40421
128.3,180,445.042365
128.6,180,445.679398
128.8,180,446.307425
129.0,180,446.948491
129.0,180,447.596906
