#{"t_start": 1681782182.5080621, "env_id": null}
r,l,t
99.0,148,2.580932
107.0,148,3.15984
107.0,148,3.763077
111.0,148,4.345057
107.0,148,4.912796
115.0,148,5.495882
107.0,148,6.064921
112.0,148,6.642542
100.0,148,7.20396
105.0,148,7.769003
109.0,148,8.346863
116.0,148,8.934868
113.0,148,9.520294
112.0,148,13.082483
106.0,148,13.659287
109.0,148,14.24394
109.0,148,14.816087
114.0,148,15.394498
101.0,148,15.947757
102.0,148,16.508594
113.0,148,17.087936
110.0,148,17.661858
106.0,148,18.235796
109.0,148,18.815677
113.0,148,19.393554
105.0,148,19.96492
106.0,148,20.534441
112.0,148,24.053802
109.0,148,24.630595
112.0,148,25.199091
99.0,148,25.762002
104.0,148,26.330282
107.0,148,26.906416
107.0,148,27.472211
109.0,148,28.046507
102.0,148,28.615446
107.0,148,29.185539
109.0,148,29.758953
110.0,148,30.330029
108.0,148,30.90051
102.0,148,31.470994
112.0,148,35.122589
107.0,148,35.696336
112.0,148,36.28559
117.0,148,36.867176
110.0,148,37.441559
111.0,148,38.02094
113.0,148,38.605513
112.0,148,39.176406
111.0,148,39.750149
110.0,148,40.334066
111.0,148,40.910789
106.0,148,41.472446
108.0,148,42.060527
111.0,148,42.636443
110.0,148,46.150154
116.0,148,46.738307
113.0,148,47.314537
114.0,148,47.89298
113.0,148,48.469337
106.0,148,49.042164
114.0,148,49.639497
111.0,148,50.220556
113.0,148,50.797869
111.0,148,51.383694
113.0,148,51.95951
114.0,148,52.549389
112.0,148,53.125333
102.0,148,53.691456
117.0,148,57.201525
115.0,148,57.78662
117.0,148,58.373978
117.0,148,58.959056
113.0,148,59.552091
114.0,148,60.138595
114.0,148,60.713712
115.0,148,61.298485
115.0,148,61.878585
117.0,148,62.464908
113.0,148,63.060077
115.0,148,63.642546
115.0,148,64.220536
112.0,148,64.805519
113.0,148,68.331347
118.0,148,68.912981
112.0,148,69.493408
118.0,148,70.086938
119.0,148,70.693571
116.0,148,71.394018
118.0,148,71.986138
115.0,148,72.596741
114.0,148,73.186654
117.0,148,73.780075
116.0,148,74.366829
110.0,148,74.942162
112.0,148,75.530963
114.0,148,79.06814
116.0,148,79.653409
115.0,148,80.254634
108.0,148,80.830996
117.0,148,81.425559
117.0,148,82.020333
115.0,148,82.607322
116.0,148,83.216071
113.0,148,83.824128
115.0,148,84.404426
110.0,148,84.975389
117.0,148,85.565942
116.0,148,86.167513
116.0,148,86.750972
111.0,148,90.296297
110.0,148,90.884164
116.0,148,91.48503
114.0,148,92.064636
119.0,148,92.669318
118.0,148,93.255451
114.0,148,93.837838
118.0,148,94.427568
116.0,148,95.019961
115.0,148,95.59819
117.0,148,96.194036
116.0,148,96.776895
117.0,148,97.36665
116.0,148,97.965409
116.0,148,101.499843
117.0,148,102.083526
114.0,148,102.684353
111.0,148,103.26363
117.0,148,103.851891
116.0,148,104.435932
114.0,148,105.014896
116.0,148,105.606286
117.0,148,106.19713
116.0,148,106.778865
115.0,148,107.362684
113.0,148,107.940126
117.0,148,108.530238
116.0,148,109.130355
114.0,148,112.666319
115.0,148,113.249402
115.0,148,113.851045
115.0,148,114.451212
116.0,148,115.036979
112.0,148,115.623224
115.0,148,116.224339
117.0,148,116.821417
115.0,148,117.414498
113.0,148,118.013006
114.0,148,118.609573
114.0,148,119.209168
116.0,148,119.814735
115.0,148,120.404301
113.0,148,123.959484
117.0,148,124.561068
118.0,148,125.148821
117.0,148,125.748205
114.0,148,126.346646
111.0,148,126.937274
117.0,148,127.539964
114.0,148,128.138596
116.0,148,128.72418
115.0,148,129.323567
