#{"t_start": 1681729134.716156, "env_id": null}
r,l,t
100.0,116,2.513217
105.0,116,3.022077
108.0,116,3.532333
106.0,116,4.041479
108.0,116,4.55381
107.0,116,5.070329
106.0,116,5.578306
106.0,116,6.093971
108.0,116,6.605517
106.0,116,7.119018
107.0,116,7.630654
105.0,116,8.139178
105.0,116,8.647411
103.0,116,9.156538
106.0,116,9.669074
107.0,116,10.184841
106.0,116,10.692303
106.0,116,14.312284
107.0,116,14.819283
107.0,116,15.337072
105.0,116,15.847535
106.0,116,16.367082
105.0,116,16.878025
105.0,116,17.383894
104.0,116,17.890709
105.0,116,18.407148
108.0,116,18.924244
105.0,116,19.433434
104.0,116,19.934022
106.0,116,20.446173
106.0,116,20.960525
107.0,116,21.468267
105.0,116,21.984525
104.0,116,22.495227
106.0,116,23.016237
107.0,116,26.560362
108.0,116,27.122052
107.0,116,27.646054
103.0,116,28.169529
104.0,116,28.698782
105.0,116,29.236217
108.0,116,29.750177
106.0,116,30.26238
106.0,116,30.772371
106.0,116,31.284838
103.0,116,31.783645
107.0,116,32.422703
108.0,116,32.951319
108.0,116,33.4956
104.0,116,34.069491
107.0,116,34.60051
104.0,116,35.100381
108.0,116,38.63848
106.0,116,39.151979
107.0,116,39.683581
105.0,116,40.200551
107.0,116,40.716985
107.0,116,41.232541
106.0,116,41.742068
107.0,116,42.252044
106.0,116,42.760275
107.0,116,43.272095
107.0,116,43.777722
108.0,116,44.290587
107.0,116,44.799053
105.0,116,45.305865
107.0,116,45.814889
107.0,116,46.328791
106.0,116,46.842731
108.0,116,47.357486
108.0,116,50.868922
108.0,116,51.38078
106.0,116,51.895111
105.0,116,52.409889
107.0,116,52.922286
107.0,116,53.432937
106.0,116,53.947269
104.0,116,54.461789
106.0,116,54.975474
103.0,116,55.484898
106.0,116,56.001667
104.0,116,56.513182
107.0,116,57.028178
108.0,116,57.541901
108.0,116,58.054603
107.0,116,58.557199
107.0,116,59.070766
102.0,116,59.569309
108.0,116,62.610019
105.0,116,63.117607
105.0,116,63.635174
105.0,116,64.144842
105.0,116,64.650412
106.0,116,65.15837
106.0,116,65.665558
107.0,116,66.171886
104.0,116,66.673155
104.0,116,67.181876
108.0,116,67.696946
104.0,116,68.199835
104.0,116,68.710299
105.0,116,69.219832
104.0,116,69.730018
107.0,116,70.236075
106.0,116,70.747971
104.0,116,72.775137
104.0,116,73.28174
105.0,116,73.79095
103.0,116,74.291539
101.0,116,74.80115
107.0,116,75.313013
102.0,116,75.806374
101.0,116,76.312558
102.0,116,76.822192
102.0,116,77.330081
104.0,116,77.839783
101.0,116,78.344972
106.0,116,78.850079
106.0,116,79.361511
107.0,116,79.868582
105.0,116,80.378591
102.0,116,80.881466
100.0,116,81.374217
105.0,116,83.41217
104.0,116,83.922379
