#{"t_start": 1681722424.9679146, "env_id": null}
r,l,t
53.6,116,2.590554
52.3,116,3.085071
51.4,116,3.629763
48.8,116,4.128983
51.6,116,4.638119
50.4,116,5.155032
51.6,116,5.647792
49.6,116,6.14644
50.0,116,6.651048
50.0,116,7.153132
52.0,116,7.662106
52.2,116,8.157735
52.0,116,8.657653
52.7,116,9.153636
48.0,116,9.656187
50.4,116,10.160275
50.4,116,10.659112
49.8,116,14.169771
52.5,116,14.65556
53.4,116,15.146913
52.6,116,15.648111
51.6,116,16.149387
50.8,116,16.651895
53.2,116,17.14156
54.4,116,17.624234
51.6,116,18.118279
51.2,116,18.612549
53.2,116,19.095741
54.0,116,19.590457
51.4,116,20.09945
53.1,116,20.601457
53.0,116,21.120058
53.5,116,21.652199
52.6,116,22.204267
52.9,116,22.711583
54.2,116,26.213238
53.2,116,26.705288
54.4,116,27.190307
54.7,116,27.670236
54.2,116,28.156783
54.4,116,28.650112
54.3,116,29.128869
54.2,116,29.6133
54.0,116,30.10624
54.7,116,30.593126
53.5,116,31.0827
53.8,116,31.725305
53.5,116,32.209868
54.2,116,32.695096
53.9,116,33.180623
53.4,116,33.666483
54.1,116,34.145492
54.0,116,37.651882
54.2,116,38.133031
54.4,116,38.618042
54.4,116,39.107065
54.1,116,39.594963
53.9,116,40.074422
53.2,116,40.56931
54.1,116,41.056801
53.9,116,41.544053
54.4,116,42.025851
53.7,116,42.515866
54.1,116,43.005362
54.3,116,43.488542
53.8,116,43.974473
54.4,116,44.45766
54.2,116,44.940773
53.2,116,45.430053
54.3,116,45.911746
54.2,116,49.387018
54.5,116,49.872559
54.1,116,50.360871
53.8,116,50.852282
54.5,116,51.333876
54.3,116,51.825054
54.7,116,52.307968
54.1,116,52.795593
54.4,116,53.286475
54.1,116,53.769969
53.9,116,54.256263
54.1,116,54.742819
54.2,116,55.228228
54.2,116,55.712089
54.3,116,56.195478
54.2,116,56.682
54.2,116,57.170179
54.6,116,57.670133
54.4,116,61.026861
54.0,116,61.52778
54.6,116,62.035059
54.1,116,62.532238
53.9,116,63.039185
54.3,116,63.539894
54.7,116,64.036768
54.5,116,64.544353
54.3,116,65.046426
54.2,116,65.551031
54.7,116,66.052166
54.5,116,66.561792
54.3,116,67.069246
54.2,116,67.908659
54.0,116,68.595619
54.5,116,69.082122
54.4,116,69.560446
54.4,116,72.943407
54.7,116,73.443857
54.6,116,73.938741
54.3,116,74.447705
54.2,116,74.964326
54.1,116,75.466612
54.2,116,75.979598
54.2,116,76.477254
54.3,116,76.961772
53.9,116,77.453051
54.2,116,77.942434
54.2,116,78.42932
53.9,116,78.919097
53.5,116,79.427768
54.2,116,79.966656
54.3,116,80.464803
54.4,116,80.951409
54.3,116,81.429518
54.1,116,84.923282
54.1,116,85.421522
53.5,116,85.921892
54.2,116,86.416404
53.5,116,86.897454
54.2,116,87.376849
54.3,116,87.860403
54.1,116,88.346947
54.2,116,88.836771
54.0,116,89.322807
54.2,116,89.805167
54.4,116,90.301798
54.0,116,90.794303
53.8,116,91.278842
54.1,116,91.775466
54.2,116,92.266091
54.2,116,92.746535
54.3,116,93.23358
54.5,116,96.752614
54.4,116,97.243053
54.3,116,97.726525
54.0,116,98.210481
53.9,116,98.709803
54.4,116,99.372295
54.4,116,99.866456
