#{"t_start": 1681798896.7732599, "env_id": null}
r,l,t
126.1,156,2.622467
126.8,156,3.232147
125.5,156,3.837399
125.5,156,4.472357
126.1,156,5.074025
125.3,156,5.713247
124.3,156,6.328794
125.5,156,6.921247
125.7,156,7.51934
126.5,156,8.123097
125.3,156,8.746611
125.4,156,9.359232
125.8,156,9.973735
125.9,156,13.577729
126.5,156,14.172094
127.1,156,14.762422
126.3,156,15.357193
127.3,156,15.94868
125.6,156,16.533278
125.7,156,17.138437
126.0,156,17.731759
126.2,156,18.322954
125.1,156,18.925197
126.5,156,19.523418
126.8,156,20.116285
127.8,156,20.710675
126.2,156,24.270634
125.4,156,24.87472
127.1,156,25.459987
126.4,156,26.053448
126.7,156,26.638036
126.6,156,27.225326
125.8,156,27.805839
125.9,156,28.399788
125.9,156,28.999747
126.9,156,29.598848
124.9,156,30.203565
126.4,156,30.813657
125.4,156,31.411914
125.9,156,35.046173
125.4,156,35.643184
126.9,156,36.219325
124.7,156,36.809283
126.6,156,37.560987
127.0,156,38.149853
125.9,156,38.736533
126.9,156,39.315134
125.5,156,39.91482
125.8,156,40.501514
125.2,156,41.085739
125.2,156,41.68983
126.2,156,42.274077
125.8,156,45.822808
124.9,156,46.421708
124.2,156,47.017753
125.2,156,47.603034
126.1,156,48.179559
126.0,156,48.765164
125.1,156,49.364782
124.2,156,49.958195
125.1,156,50.546555
125.9,156,51.141902
125.9,156,51.719676
125.3,156,52.308249
125.8,156,52.897122
125.7,156,56.473877
125.5,156,57.056915
125.2,156,57.65053
125.0,156,58.243265
124.9,156,58.839756
124.6,156,59.432066
125.8,156,60.044563
125.6,156,60.664839
125.0,156,61.266424
124.6,156,61.856574
125.5,156,62.436095
125.8,156,63.016459
124.5,156,63.606618
125.7,156,67.138366
125.6,156,67.718416
124.8,156,68.31291
125.0,156,68.909745
125.4,156,69.494769
124.5,156,70.071634
124.8,156,70.658362
124.7,156,71.250403
124.6,156,71.851784
124.8,156,72.441543
124.6,156,73.031086
125.5,156,73.615308
124.9,156,74.204966
124.4,156,77.677219
124.9,156,78.261325
125.2,156,78.848511
125.2,156,79.438612
125.2,156,80.024809
125.2,156,80.613588
125.2,156,81.194606
124.7,156,81.783245
125.8,156,82.356678
126.5,156,82.945346
124.8,156,83.53963
125.1,156,84.127926
125.6,156,84.716776
126.5,156,85.293809
127.0,156,88.754843
124.8,156,89.351652
126.9,156,89.936281
125.7,156,90.543013
125.5,156,91.17207
126.2,156,91.768879
123.6,156,92.379578
125.7,156,92.964073
125.4,156,93.545909
124.8,156,94.153293
125.0,156,94.742554
124.8,156,95.340351
125.7,156,95.926962
125.9,156,99.394484
125.5,156,99.981549
125.6,156,100.560516
125.6,156,101.152102
125.9,156,101.74668
126.4,156,102.343729
125.4,156,102.940281
126.3,156,103.526414
126.5,156,104.115863
126.0,156,104.703045
125.4,156,105.279901
126.2,156,105.872891
125.6,156,106.456199
127.0,156,109.922951
126.6,156,110.50727
127.1,156,111.097559
126.6,156,111.670727
126.2,156,112.257196
127.0,156,112.841158
126.6,156,113.423718
126.2,156,114.024029
125.3,156,114.610159
126.5,156,115.190294
125.7,156,115.773021
124.9,156,116.35919
126.3,156,116.952814
127.5,156,120.491925
125.6,156,121.093802
126.3,156,121.687167
127.6,156,122.262139
127.3,156,122.858338
126.7,156,123.442374
126.7,156,124.03332
126.2,156,124.61769
127.1,156,125.203694
127.3,156,125.785038
126.5,156,126.364639
126.7,156,126.942493
127.0,156,127.520728
126.8,156,131.071438
127.0,156,131.651434
127.8,156,132.223321
126.2,156,132.806618
127.4,156,133.375161
127.0,156,133.968004
127.3,156,134.549533
126.6,156,135.125425
126.6,156,135.715379
126.2,156,136.301024
127.0,156,136.881065
126.8,156,137.4716
126.8,156,138.043275
128.1,156,141.515471
126.3,156,142.102113
128.2,156,142.676306
128.5,156,143.248782
127.6,156,143.819191
128.1,156,144.397157
127.2,156,144.967472
127.7,156,145.541271
127.8,156,146.108868
127.4,156,146.672692
127.8,156,147.252265
127.8,156,147.818918
128.2,156,148.38984
127.3,156,151.863336
127.5,156,152.446056
127.5,156,153.062848
127.8,156,153.637844
127.7,156,154.217999
127.3,156,154.788078
127.8,156,155.357832
127.5,156,155.927794
128.0,156,156.506145
128.6,156,157.097546
128.6,156,157.681849
127.5,156,158.254736
126.9,156,158.8621
127.5,156,161.884694
127.9,156,162.450893
127.6,156,163.031462
126.9,156,163.600187
127.1,156,164.181085
127.6,156,164.772794
127.5,156,165.344803
127.6,156,165.909036
126.8,156,166.488095
127.5,156,167.049595
127.5,156,167.607921
127.9,156,168.161485
128.0,156,168.722615
127.4,156,169.281339
127.7,156,172.709441
127.5,156,173.272619
127.4,156,173.845586
126.5,156,174.40068
128.1,156,174.970351
127.6,156,175.535866
127.4,156,176.11178
127.3,156,176.691589
128.7,156,177.264446
127.2,156,177.820823
127.6,156,178.37542
127.5,156,178.945139
128.4,156,179.514117
128.0,156,182.976509
127.4,156,183.539213
127.6,156,184.11074
126.4,156,184.693909
127.8,156,185.273503
127.4,156,185.879663
127.9,156,186.463273
127.9,156,187.047136
128.2,156,187.618884
127.6,156,188.212955
128.6,156,188.782264
127.6,156,189.343662
127.5,156,189.91154
127.7,156,193.358526
128.0,156,193.94046
128.2,156,194.504024
128.0,156,195.075978
128.8,156,195.654589
127.0,156,196.232379
128.3,156,196.795696
127.3,156,197.360991
127.9,156,197.923112
127.9,156,198.489504
128.0,156,199.05675
127.4,156,199.634091
127.9,156,200.237497
127.9,156,203.701517
127.6,156,204.274366
127.5,156,204.842491
128.1,156,205.412125
127.5,156,205.983321
127.5,156,206.545412
127.5,156,207.122145
128.0,156,207.682218
127.8,156,208.241331
127.5,156,208.805024
128.0,156,209.376909
127.5,156,209.949168
128.2,156,210.50867
128.2,156,213.942409
128.0,156,214.517129
128.8,156,215.089532
127.0,156,215.661926
128.3,156,216.235992
128.0,156,216.804305
128.1,156,217.376026
127.6,156,217.945315
128.1,156,218.51616
127.3,156,219.09474
128.1,156,219.668866
127.9,156,220.231307
128.6,156,220.812782
128.2,156,224.213322
127.5,156,224.790389
128.3,156,225.357638
128.0,156,225.924983
127.5,156,226.50801
127.1,156,227.086162
128.3,156,227.679471
127.5,156,228.246895
127.8,156,228.816346
128.2,156,229.380594
127.7,156,229.947841
127.7,156,230.621914
127.9,156,231.247503
128.2,156,234.910689
128.6,156,235.475272
127.5,156,236.054523
128.2,156,236.618021
127.7,156,237.189538
128.1,156,237.757
127.5,156,238.336328
127.9,156,238.920052
128.2,156,239.48254
127.9,156,240.057976
128.5,156,240.658141
127.1,156,241.234296
127.9,156,241.815579
128.4,156,245.402246
127.9,156,245.979956
128.0,156,246.5526
127.8,156,247.136019
127.6,156,247.704463
127.6,156,248.277804
128.6,156,248.848413
128.3,156,249.4175
128.4,156,249.974919
127.7,156,250.553107
128.8,156,251.124974
128.6,156,251.693398
127.6,156,252.255725
127.3,156,252.827978
128.2,156,256.360923
128.0,156,256.931753
128.0,156,257.493585
128.3,156,258.067337
127.5,156,258.65661
128.3,156,259.212089
127.4,156,259.775871
128.8,156,260.343742
127.7,156,260.910262
127.8,156,261.47374
127.3,156,262.041083
127.9,156,262.61155
127.2,156,263.171031
127.6,156,266.697006
128.2,156,267.262124
127.5,156,267.843203
127.8,156,268.447608
128.0,156,269.052359
127.3,156,269.638371
127.9,156,270.233211
127.5,156,270.80366
127.6,156,271.373013
128.0,156,272.010475
128.4,156,272.574175
128.1,156,273.14501
128.1,156,273.7162
127.8,156,277.271769
128.8,156,277.840867
127.5,156,278.402349
127.6,156,278.980895
127.8,156,279.555365
128.3,156,280.116587
128.3,156,280.690817
127.9,156,281.281686
127.5,156,281.83936
128.5,156,282.40908
128.2,156,282.980756
127.3,156,283.579312
127.3,156,284.17764
128.4,156,287.749584
128.0,156,288.328197
127.6,156,288.925863
128.0,156,289.501301
128.3,156,290.072145
127.8,156,290.659172
127.7,156,291.231174
127.1,156,291.821028
128.0,156,292.399722
127.7,156,292.976509
128.3,156,293.548353
128.7,156,294.117428
128.1,156,294.687014
128.1,156,298.244758
127.4,156,298.80895
127.9,156,299.382067
128.0,156,299.955481
127.8,156,300.527705
127.6,156,301.107464
128.1,156,301.685766
127.4,156,302.258853
127.6,156,302.861937
127.5,156,303.441293
127.8,156,304.030937
127.3,156,304.614136
128.1,156,305.197168
128.5,156,308.781095
127.6,156,309.36945
128.0,156,309.956577
127.8,156,310.548806
127.7,156,311.133935
128.2,156,311.708768
128.0,156,312.313386
128.2,156,312.903266
127.0,156,313.493961
128.3,156,314.079709
127.5,156,314.667075
127.7,156,315.256472
128.0,156,315.845337
128.1,156,319.414314
127.2,156,319.996814
128.0,156,320.564429
127.4,156,321.156595
127.5,156,321.732573
127.7,156,322.325318
127.7,156,322.903023
127.5,156,323.483474
127.9,156,324.062604
127.4,156,324.647202
127.8,156,325.227077
127.0,156,325.810128
127.7,156,326.392191
127.6,156,329.93453
128.4,156,330.540424
127.5,156,331.11384
127.6,156,331.69368
127.7,156,332.287066
127.9,156,332.869381
127.6,156,333.447434
128.5,156,334.023956
128.3,156,334.594025
127.2,156,335.176702
128.0,156,335.746108
128.0,156,336.321654
127.5,156,336.916492
128.1,156,337.491417
128.0,156,341.027938
128.5,156,341.624017
128.1,156,342.193212
128.0,156,342.821267
128.6,156,343.453534
127.1,156,344.041809
127.7,156,344.613783
127.5,156,345.202533
127.6,156,345.781336
128.0,156,346.359493
128.0,156,346.936342
128.2,156,347.519715
127.4,156,348.098543
127.0,156,351.675998
128.1,156,352.2556
128.2,156,352.839474
127.7,156,353.426173
127.7,156,354.01483
127.9,156,354.591919
127.6,156,355.178939
127.3,156,355.768361
126.8,156,356.356461
127.5,156,356.939257
128.2,156,357.528851
127.0,156,358.097244
128.0,156,358.676794
127.1,156,362.236916
127.6,156,362.819044
128.3,156,363.407997
127.8,156,363.984527
127.3,156,364.560863
127.8,156,365.142023
127.6,156,365.719878
127.7,156,366.303053
127.8,156,366.873958
127.7,156,367.448089
127.2,156,368.021056
127.6,156,368.589779
127.6,156,369.176867
128.2,156,372.709831
127.9,156,373.278985
126.9,156,373.860861
127.5,156,374.440082
127.5,156,375.015886
127.7,156,375.601113
128.0,156,376.197468
128.0,156,376.808072
128.0,156,377.434058
128.0,156,378.051301
127.1,156,378.637275
128.3,156,379.243255
128.1,156,379.854221
127.6,156,383.423443
127.4,156,384.023096
127.4,156,384.608241
127.3,156,385.185567
127.6,156,385.760455
128.1,156,386.359266
128.0,156,386.956376
127.6,156,387.526184
128.2,156,388.099147
127.9,156,388.691549
128.2,156,389.261233
127.3,156,389.828116
127.7,156,390.411
127.9,156,393.963413
127.8,156,394.548183
127.4,156,395.117018
126.8,156,395.714728
127.9,156,396.281326
127.8,156,396.844337
127.9,156,397.433659
127.6,156,398.02733
127.2,156,398.616664
127.6,156,399.229053
127.9,156,399.845337
126.7,156,400.439572
127.0,156,401.010058
127.0,156,404.548081
127.4,156,405.134439
127.7,156,405.708635
127.9,156,406.279847
127.6,156,406.8607
127.8,156,407.440626
127.7,156,408.051496
127.8,156,408.627906
127.7,156,409.302871
127.8,156,409.998755
127.6,156,410.573113
128.0,156,411.142984
127.9,156,411.701403
127.4,156,412.310638
127.0,156,415.926988
127.8,156,416.493862
127.0,156,417.154558
127.8,156,417.758519
127.8,156,418.345681
128.3,156,418.928199
127.5,156,419.51807
128.0,156,420.100061
127.5,156,420.67762
127.8,156,421.268548
128.5,156,421.864146
127.3,156,422.460581
127.3,156,423.062194
127.4,156,426.629682
128.3,156,427.200836
128.2,156,427.776627
127.4,156,428.346564
127.4,156,428.920167
127.4,156,429.491536
128.1,156,430.065199
127.8,156,430.642486
127.7,156,431.219942
127.2,156,431.790881
127.9,156,432.365195
127.8,156,432.944312
127.6,156,433.522299
128.0,156,437.128278
127.7,156,437.707352
127.9,156,438.3116
127.3,156,438.885463
127.8,156,439.453678
127.1,156,440.028051
127.5,156,440.610603
127.3,156,441.187992
127.5,156,441.771416
128.2,156,442.357433
127.4,156,442.925902
127.9,156,443.494728
127.3,156,444.102346
126.9,156,447.631038
128.3,156,448.224132
127.4,156,448.802371
127.6,156,449.404655
127.8,156,450.008193
127.8,156,450.613133
127.0,156,451.206287
127.7,156,451.796838
127.7,156,452.372698
128.4,156,453.011114
127.5,156,453.682885
127.4,156,454.361228
127.3,156,455.044538
126.7,156,458.60293
127.8,156,459.187822
127.6,156,459.76786
128.2,156,460.356112
127.8,156,460.936882
127.4,156,461.542108
127.4,156,462.138661
127.5,156,462.720659
127.6,156,463.316
127.6,156,463.894615
127.5,156,464.480356
127.2,156,465.062585
128.0,156,465.629748
127.4,156,469.159933
128.3,156,469.731233
127.4,156,470.305208
127.0,156,470.886557
127.4,156,471.464958
128.3,156,472.028684
128.1,156,472.595008
127.8,156,473.161398
127.9,156,473.728865
127.9,156,474.292437
127.8,156,474.859811
128.7,156,475.425036
128.1,156,475.987494
128.1,156,479.518227
127.7,156,480.087343
127.8,156,480.660772
127.3,156,481.237647
128.0,156,481.807492
127.4,156,482.372247
127.9,156,482.942516
127.3,156,483.511868
127.4,156,484.073495
128.0,156,484.641071
127.9,156,485.218511
127.2,156,485.781014
127.5,156,486.352482
127.8,156,489.900299
128.0,156,490.480026
127.2,156,491.046094
127.5,156,491.627698
128.1,156,492.195917
127.9,156,492.757946
127.7,156,493.325288
127.5,156,493.892303
128.0,156,494.461094
127.1,156,495.027462
127.8,156,495.601374
127.0,156,496.173888
127.4,156,496.739944
128.3,156,497.309906
128.1,156,500.841524
126.9,156,501.426053
127.5,156,501.992796
128.0,156,502.56273
128.2,156,503.12728
127.8,156,503.708599
127.3,156,504.276553
127.8,156,504.834668
128.0,156,505.405484
127.7,156,505.986234
128.3,156,506.563171
127.9,156,507.133923
127.9,156,507.723825
128.3,156,511.279914
127.6,156,511.953855
127.9,156,512.558257
128.0,156,513.16883
127.3,156,513.779478
127.6,156,514.367859
127.4,156,514.952545
128.1,156,515.527267
127.6,156,516.099831
128.1,156,516.668302
128.0,156,517.245702
127.7,156,517.807444
126.9,156,518.373256
127.4,156,520.392251
127.7,156,520.96677
127.6,156,521.538262
127.9,156,522.105466
127.4,156,522.670905
127.3,156,523.255617
127.9,156,523.827569
127.9,156,524.39661
128.0,156,524.967392
127.1,156,525.554872
127.1,156,526.12512
127.4,156,526.68754
127.5,156,527.254981
127.5,156,530.82891
127.4,156,531.415181
126.8,156,531.99606
127.8,156,532.570994
127.5,156,533.146065
127.3,156,533.709822
128.5,156,534.290833
128.2,156,534.869298
127.7,156,535.453432
127.5,156,536.019567
128.0,156,536.597372
127.9,156,537.173093
127.5,156,537.746934
127.6,156,541.193762
127.5,156,541.767827
127.8,156,542.347523
127.4,156,542.920914
128.1,156,543.494361
127.3,156,544.080083
128.4,156,544.649753
128.3,156,545.225377
127.5,156,545.812469
127.7,156,546.382005
127.6,156,546.960185
127.2,156,547.533639
127.6,156,548.105261
127.5,156,551.560248
127.8,156,552.138203
127.2,156,552.718938
128.0,156,553.291561
127.3,156,553.854456
128.0,156,554.422846
128.2,156,554.989399
127.3,156,555.555408
127.5,156,556.122327
127.1,156,556.705982
127.5,156,557.267787
127.5,156,557.839536
127.3,156,558.411433
128.2,156,561.942029
128.0,156,562.528044
126.9,156,563.102304
128.0,156,563.688454
127.5,156,564.262617
127.5,156,564.83575
128.9,156,565.423959
128.3,156,566.013581
127.4,156,566.586156
127.5,156,567.158395
127.8,156,567.730586
127.5,156,568.297673
127.7,156,568.884409
128.2,156,572.432524
127.6,156,573.013013
127.4,156,573.599874
128.0,156,574.176558
127.6,156,574.746873
128.1,156,575.334084
128.3,156,575.906272
127.8,156,576.484506
127.4,156,577.062255
128.0,156,577.642774
126.7,156,578.26912
127.8,156,578.836537
127.7,156,579.422177
127.6,156,579.989265
127.9,156,583.526247
128.0,156,584.090352
128.7,156,584.673651
127.8,156,585.245491
128.1,156,585.827175
127.3,156,586.400962
128.1,156,586.978371
127.0,156,587.559423
127.7,156,588.131021
127.5,156,588.717814
128.0,156,589.298504
128.9,156,589.878169
128.0,156,590.453648
126.8,156,593.993686
128.0,156,594.562347
128.9,156,595.145726
128.9,156,595.733643
127.9,156,596.314618
128.3,156,596.89568
128.2,156,597.468724
127.6,156,598.036473
127.6,156,598.625332
127.8,156,599.195456
127.3,156,599.761193
127.8,156,600.334945
127.4,156,600.900627
128.0,156,604.453687
127.5,156,605.02231
128.1,156,605.601021
127.8,156,606.171499
127.4,156,606.752151
128.2,156,607.331796
128.5,156,607.912017
